epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
70,625.465,2.33064,0.33631,0.98214,1.58724,0.05295,12.1837,0.2181,0.36559,0.12623,0.02366,0.53762,0.74194,0.62913,0.26646,4.31708,2.75294,2.3367,4.63186,0.16921,0,0.0086338,0.0086338,0.0086338
71,634.12,2.20678,0.2965,0.91246,1.54479,0.04945,11.6538,0.2638,0.43011,0.22007,0.03855,0.5598,0.82796,0.67371,0.31422,4.24271,2.86341,2.05617,2.85408,0.1653,0,0.008614,0.008614,0.008614
72,641.716,2.21912,0.3077,0.98975,1.5248,0.04791,11.128,0.64843,0.57515,0.60928,0.21728,0.68705,0.62366,0.71889,0.5263,3.14493,1.50736,1.01368,2.16617,0.10406,0,0.0085942,0.0085942,0.0085942
73,649.345,2.19992,0.28951,0.91682,1.49159,0.04926,11.0187,0.63473,0.63441,0.65631,0.27413,0.63407,0.72043,0.71316,0.5807,3.04324,1.82562,1.28217,1.7133,0.0984,0,0.0085744,0.0085744,0.0085744
74,657.284,2.18503,0.24014,0.87257,1.51281,0.04947,10.5845,0.45893,0.69892,0.50573,0.2075,0.5104,0.79589,0.59793,0.52057,2.83778,0.9114,0.76886,1.53707,0.08831,0,0.0085546,0.0085546,0.0085546
75,665.143,2.20729,0.26955,0.89383,1.46199,0.04859,10.8604,0.59074,0.68817,0.575,0.22994,0.57017,0.72043,0.66106,0.54806,2.97005,1.31794,0.57359,1.4675,0.09465,0,0.0085348,0.0085348,0.0085348
76,673.499,2.21427,0.31287,0.90862,1.5081,0.04974,11.2835,0.32147,0.18341,0.18792,0.04274,0.30735,0.61551,0.42489,0.23799,4.25679,3.03101,2.65244,3.30572,0.16751,0,0.008515,0.008515,0.008515
77,681.248,2.30422,0.28006,0.92164,1.51359,0.0516,11.1069,0.42288,0.4086,0.31517,0.07371,0.64347,0.64045,0.68597,0.35687,4.25571,2.68155,2.10282,2.55667,0.15949,0,0.0084952,0.0084952,0.0084952
78,690.342,2.18289,0.26946,0.89276,1.46691,0.04844,10.7911,0.50977,0.53671,0.46488,0.19056,0.5634,0.70768,0.63162,0.34776,3.1494,2.68334,1.53986,2.31497,0.10469,0,0.0084754,0.0084754,0.0084754
79,698.709,2.14309,0.31782,0.92015,1.45051,0.04786,10.8774,0.48414,0.63441,0.52818,0.15991,0.5442,0.70968,0.61964,0.41607,3.16155,1.84776,1.08886,1.98275,0.10392,0,0.0084556,0.0084556,0.0084556
80,707.018,2.18562,0.23294,0.82974,1.4546,0.04797,10.6043,0.58312,0.55914,0.56387,0.21533,0.62114,0.72281,0.71297,0.61549,2.97662,1.01205,0.50279,1.85492,0.10024,0,0.0084358,0.0084358,0.0084358
81,715.43,2.22928,0.24786,0.86085,1.51472,0.0497,10.2933,0.47559,0.6129,0.46912,0.1373,0.65222,0.84696,0.81971,0.69764,3.66072,0.98843,0.63211,1.88235,0.13437,0,0.008416,0.008416,0.008416
82,724.068,2.25604,0.31549,0.95611,1.42153,0.04994,11.0324,0.36895,0.55914,0.45782,0.13304,0.45588,0.83871,0.65453,0.42923,3.5816,2.46854,1.43424,1.70185,0.13313,0,0.0083962,0.0083962,0.0083962
83,732.356,2.20002,0.28551,0.90155,1.437,0.04948,10.9256,0.37199,0.59234,0.4696,0.13571,0.46076,0.75269,0.63934,0.44295,3.63532,1.57727,0.51988,2.28345,0.13192,0,0.0083764,0.0083764,0.0083764
