epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,664.46,0.3902,0.47386,0.3133,1.01571,0.98708,1,0.99488,0.92673,0.98708,1,0.99488,0.97155,0.45444,0.35313,0.37079,1.21407,0.00178418,0.00178418,0.00178418
111,670.426,0.41583,0.47517,0.32907,1.03437,0.99502,0.96429,0.99108,0.88438,0.99502,0.96429,0.99108,0.9495,0.4777,0.54857,0.35968,1.28182,0.0017822,0.0017822,0.0017822
112,676.416,0.39189,0.43914,0.30547,1.02025,0.99984,1,0.995,0.9292,0.99984,1,0.995,0.97503,0.38803,0.33754,0.29827,1.13322,0.00178022,0.00178022,0.00178022
113,682.379,0.41216,0.45438,0.30758,1.02811,1,0.98462,0.99477,0.92212,1,0.98462,0.99477,0.97781,0.4305,0.35236,0.33092,1.19348,0.00177824,0.00177824,0.00177824
114,688.293,0.37924,0.40519,0.29847,1.03159,0.99716,0.9881,0.99444,0.92449,0.99716,0.9881,0.99444,0.97644,0.45764,0.35693,0.35381,1.21591,0.00177626,0.00177626,0.00177626
115,694.185,0.40908,0.4419,0.31489,1.03927,0.98809,0.98765,0.98968,0.92706,0.98809,0.98765,0.98968,0.97596,0.40134,0.33183,0.30638,1.18476,0.00177428,0.00177428,0.00177428
116,700.396,0.37651,0.44671,0.30242,1.0248,0.98677,0.9881,0.99363,0.92451,0.99866,1,0.995,0.98425,0.42068,0.33272,0.31718,1.18351,0.0017723,0.0017723,0.0017723
117,706.409,0.38542,0.45445,0.31473,0.99051,0.99497,1,0.995,0.91546,0.99497,1,0.995,0.9843,0.45555,0.32164,0.38902,1.21267,0.00177032,0.00177032,0.00177032
118,712.383,0.39168,0.42044,0.3065,1.03484,0.97621,1,0.99395,0.9167,0.97621,1,0.99395,0.97743,0.48318,0.38336,0.32709,1.26817,0.00176834,0.00176834,0.00176834
119,718.34,0.4044,0.42802,0.31033,1.01893,0.99828,0.9881,0.99423,0.91344,0.99828,0.9881,0.99423,0.97876,0.43317,0.39022,0.3362,1.26164,0.00176636,0.00176636,0.00176636
120,724.326,0.41229,0.46952,0.32725,1.04512,0.98823,0.99958,0.99488,0.92583,0.98823,0.99958,0.99488,0.97758,0.45562,0.35507,0.33523,1.26087,0.00176438,0.00176438,0.00176438
121,730.28,0.39716,0.45946,0.30992,1.03396,0.98727,1,0.99453,0.93244,0.98727,1,0.99453,0.97279,0.38958,0.3672,0.33438,1.13662,0.0017624,0.0017624,0.0017624
122,736.248,0.40279,0.44054,0.3107,0.99389,0.99941,1,0.995,0.91221,0.99941,1,0.995,0.96916,0.41269,0.43105,0.35579,1.17858,0.00176042,0.00176042,0.00176042
123,742.219,0.39223,0.39037,0.31841,1.01221,0.98468,1,0.99476,0.94347,0.98468,1,0.99476,0.98127,0.38922,0.32077,0.42557,1.1521,0.00175844,0.00175844,0.00175844
124,748.439,0.35183,0.37292,0.28849,0.96926,0.99763,0.9881,0.99444,0.92062,0.99763,0.9881,0.99444,0.97846,0.43425,0.29783,0.32658,1.28516,0.00175646,0.00175646,0.00175646
125,754.393,0.39534,0.44411,0.31823,1.01602,0.99931,0.9881,0.99423,0.89508,0.99931,0.9881,0.99423,0.96984,0.49686,0.35328,0.35476,1.34522,0.00175448,0.00175448,0.00175448
126,760.594,0.42206,0.4462,0.32883,1.01647,0.9878,1,0.99488,0.93425,0.9878,1,0.99488,0.97594,0.43359,0.32198,0.29466,1.24613,0.0017525,0.0017525,0.0017525
127,766.555,0.41529,0.45199,0.3221,1.01807,0.98713,1,0.99488,0.93328,0.98713,1,0.99488,0.98495,0.45352,0.31223,0.30178,1.22905,0.00175052,0.00175052,0.00175052
128,772.479,0.38037,0.42665,0.29751,1.00547,0.99903,0.9881,0.99488,0.9234,0.99903,0.9881,0.99488,0.98242,0.41002,0.30577,0.3237,1.20209,0.00174854,0.00174854,0.00174854
129,778.39,0.40928,0.42764,0.32323,1.03827,1,0.99935,0.995,0.94683,1,0.99935,0.995,0.98245,0.38481,0.33,0.29917,1.13987,0.00174656,0.00174656,0.00174656
