epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1550.58,1.12731,0.96007,0.85813,1.694,0.91037,1,0.98699,0.65511,0.91037,1,0.98699,0.84106,1.07978,0.99592,0.81044,2.08208,0.0014588,0.0014588,0.0014588
84,1569.09,1.10737,0.93909,0.81906,1.68751,0.94837,1,0.99285,0.68746,0.94837,1,0.99285,0.90088,1.15615,0.82134,0.66934,2.04465,0.0014522,0.0014522,0.0014522
85,1587.63,1.08449,0.908,0.77988,1.67545,0.92871,1,0.99189,0.6815,0.92871,1,0.99189,0.87363,1.16029,0.77507,0.7266,2.09323,0.0014456,0.0014456,0.0014456
86,1606.12,1.03709,0.89845,0.77703,1.62522,0.97614,0.99785,0.99452,0.71975,0.97614,0.99785,0.99452,0.88762,1.14542,0.75143,0.76141,2.12317,0.001439,0.001439,0.001439
87,1624.68,1.1042,0.94955,0.78456,1.68726,0.99428,1,0.995,0.65196,0.99428,1,0.995,0.85417,1.21073,0.82061,0.71164,2.17118,0.0014324,0.0014324,0.0014324
88,1643.23,1.07792,0.97063,0.79636,1.66467,0.98541,1,0.995,0.67958,0.98541,1,0.995,0.88663,1.14336,0.84925,0.6925,2.05258,0.0014258,0.0014258,0.0014258
89,1661.81,1.11523,0.89784,0.79337,1.6891,0.97524,0.97561,0.992,0.67696,0.97524,0.97561,0.992,0.87835,1.22842,0.74619,0.75641,2.18907,0.0014192,0.0014192,0.0014192
90,1680.32,1.08473,0.82954,0.81897,1.65016,1,0.9734,0.99208,0.67981,1,0.9734,0.99208,0.87588,1.07236,0.82313,0.67752,2.02844,0.0014126,0.0014126,0.0014126
91,1698.87,1.05111,0.90423,0.80941,1.63274,0.99692,1,0.995,0.68779,0.99692,1,0.995,0.8974,1.10749,1.0024,0.64281,2.03287,0.001406,0.001406,0.001406
92,1717.41,1.04457,0.83283,0.77364,1.6575,0.98817,0.97561,0.99452,0.6472,0.98817,0.97561,0.99452,0.88613,1.23681,0.84222,0.79296,2.1144,0.0013994,0.0013994,0.0013994
93,1735.92,1.09288,0.90099,0.77322,1.64929,0.99287,0.97561,0.98639,0.64337,0.97601,0.99237,0.99452,0.83779,1.29539,1.16186,0.71573,2.32339,0.0013928,0.0013928,0.0013928
94,1754.46,1.07388,0.88746,0.74954,1.62811,0.99698,0.97561,0.99245,0.68073,0.99698,0.97561,0.99407,0.88646,1.12071,0.74911,0.68997,2.03291,0.0013862,0.0013862,0.0013862
95,1772.97,0.99999,0.79971,0.71542,1.61363,0.93016,0.97456,0.96938,0.63256,0.93016,0.97456,0.96938,0.85654,1.19254,0.71894,0.74801,2.09829,0.0013796,0.0013796,0.0013796
96,1791.51,0.98573,0.8407,0.70966,1.56395,0.99319,1,0.995,0.67182,0.99319,1,0.995,0.90207,1.16296,1.09619,0.67384,2.03857,0.001373,0.001373,0.001373
97,1810.07,0.9643,0.8258,0.7089,1.56112,0.96737,1,0.99214,0.73903,0.96737,1,0.99214,0.86311,0.96439,0.81558,0.63955,1.94122,0.0013664,0.0013664,0.0013664
98,1828.59,0.99592,0.88327,0.71454,1.58825,0.99342,0.97561,0.99364,0.71842,0.99342,0.97561,0.99364,0.88153,1.04174,0.79623,0.61346,1.98741,0.0013598,0.0013598,0.0013598
99,1847.13,1.06241,0.865,0.75573,1.62828,0.99376,0.97561,0.99452,0.67665,0.99376,0.97561,0.99452,0.90193,1.15954,0.72282,0.68549,2.03144,0.0013532,0.0013532,0.0013532
100,1865.65,1.01385,0.87173,0.76485,1.57977,0.9756,0.97518,0.99242,0.72726,0.9756,0.97518,0.99242,0.89999,1.06909,0.84225,0.71542,1.9696,0.0013466,0.0013466,0.0013466
101,1884.23,0.95648,0.81966,0.69648,1.54539,0.97341,1,0.99452,0.77787,0.97341,1,0.99452,0.90711,0.85567,0.67145,0.59052,1.86837,0.00134,0.00134,0.00134
102,1902.78,1.01914,0.78713,0.71307,1.57396,0.97607,0.99486,0.99214,0.72259,0.97607,0.99486,0.99214,0.87397,1.05765,0.75365,0.63453,2.00938,0.0013334,0.0013334,0.0013334
103,1921.33,0.96883,0.88403,0.7067,1.5743,0.91396,1,0.99074,0.70951,0.91396,1,0.99074,0.90421,1.37081,0.6544,0.77235,2.20734,0.0013268,0.0013268,0.0013268
104,1939.86,0.93403,0.82733,0.68603,1.52677,0.97599,0.99138,0.99333,0.72681,0.97599,0.99138,0.99333,0.88194,0.94713,0.70021,0.68547,1.85363,0.0013202,0.0013202,0.0013202
105,1958.42,0.98472,0.81028,0.70436,1.54693,0.95056,1,0.98989,0.68533,0.95056,1,0.98989,0.8902,1.16454,0.77783,0.67039,2.07234,0.0013136,0.0013136,0.0013136
106,1976.95,0.96322,0.86571,0.69958,1.5444,0.97391,1,0.995,0.72477,0.97391,1,0.995,0.91207,1.01744,0.59641,0.64938,1.9133,0.001307,0.001307,0.001307
107,1995.51,0.92658,0.78995,0.68767,1.51018,0.99552,1,0.995,0.76523,0.99552,1,0.995,0.90519,0.92981,0.82534,0.6898,1.88343,0.0013004,0.0013004,0.0013004
108,2014.08,0.90901,0.75678,0.6554,1.4929,0.94803,1,0.99358,0.7139,0.94803,1,0.99358,0.89944,1.0289,0.73891,0.66844,1.97244,0.0012938,0.0012938,0.0012938
109,2032.6,0.93135,0.74746,0.67363,1.54957,0.9914,0.95122,0.99273,0.76583,0.9914,0.95122,0.99273,0.90972,1.01203,0.74521,0.69381,1.85091,0.0012872,0.0012872,0.0012872
110,2051.2,0.98091,0.80502,0.70048,1.57008,0.9954,1,0.995,0.76079,0.9954,1,0.995,0.91652,0.93384,0.96417,0.61683,1.83748,0.0012806,0.0012806,0.0012806
111,2069.77,0.91241,0.76395,0.65341,1.49666,0.95336,0.99715,0.99114,0.76548,0.95336,0.99715,0.99114,0.90549,0.93408,0.75263,0.60673,1.8711,0.001274,0.001274,0.001274
112,2088.35,0.97744,0.79056,0.68382,1.5301,0.97532,0.97561,0.9916,0.74554,0.97532,0.97561,0.9916,0.89048,1.01094,0.79942,0.62857,1.98981,0.0012674,0.0012674,0.0012674
113,2106.94,0.95066,0.80872,0.6543,1.50478,0.95298,0.98875,0.99407,0.7664,0.95298,0.98875,0.99407,0.91815,1.04889,1.00151,0.62534,1.93487,0.0012608,0.0012608,0.0012608
114,2125.47,0.92074,0.76361,0.6399,1.51834,0.97429,1,0.99452,0.77728,0.97429,1,0.99452,0.9251,0.89165,0.64616,0.56346,1.81231,0.0012542,0.0012542,0.0012542
115,2144.08,0.86556,0.76428,0.63311,1.46188,0.99348,1,0.995,0.74445,0.99348,1,0.995,0.90854,1.06586,0.64707,0.59637,1.93455,0.0012476,0.0012476,0.0012476
116,2162.65,0.90839,0.76416,0.65013,1.52282,1,0.99584,0.995,0.736,1,0.99584,0.995,0.87889,1.01352,0.83012,0.5839,1.92939,0.001241,0.001241,0.001241
117,2181.25,0.88804,0.72199,0.65056,1.49372,0.94904,0.97561,0.9728,0.74233,0.97298,1,0.99452,0.89157,0.9659,0.78091,0.64678,1.90918,0.0012344,0.0012344,0.0012344
118,2199.79,0.85169,0.80482,0.61655,1.45503,1,0.99644,0.995,0.71307,1,0.99644,0.995,0.89241,1.01379,0.8888,0.66048,1.93957,0.0012278,0.0012278,0.0012278
119,2218.38,0.86827,0.71786,0.6337,1.4631,0.98593,1,0.995,0.76193,0.98593,1,0.995,0.89297,0.96364,1.10003,0.67449,1.87731,0.0012212,0.0012212,0.0012212
120,2236.93,0.87222,0.78559,0.63723,1.49205,0.99053,1,0.995,0.75449,0.99053,1,0.995,0.91625,0.95701,0.56391,0.53643,1.78327,0.0012146,0.0012146,0.0012146
121,2255.51,0.88194,0.75471,0.65017,1.44972,0.9723,0.97561,0.99242,0.79736,0.9723,0.97561,0.99242,0.91931,0.92657,0.64957,0.62843,1.86473,0.001208,0.001208,0.001208
122,2274.07,0.86011,0.77065,0.64742,1.4662,0.99632,1,0.995,0.76949,0.99632,1,0.995,0.92788,1.02765,0.59752,0.59423,1.94527,0.0012014,0.0012014,0.0012014
123,2292.62,0.84701,0.74549,0.61056,1.43661,0.96436,0.95122,0.98896,0.77244,0.96436,0.95122,0.98896,0.88676,0.90265,0.90776,0.9156,1.86377,0.0011948,0.0011948,0.0011948
124,2311.14,0.86966,0.75056,0.6189,1.42987,0.99782,1,0.995,0.76315,0.99782,1,0.995,0.93667,0.93455,0.54124,0.52855,1.80308,0.0011882,0.0011882,0.0011882
125,2329.65,0.82422,0.70784,0.59723,1.43606,0.99292,1,0.995,0.79167,0.99292,1,0.995,0.92045,0.85124,0.7602,0.53411,1.76092,0.0011816,0.0011816,0.0011816
126,2348.16,0.82512,0.69293,0.59094,1.42854,0.97611,0.99666,0.98167,0.73645,0.97611,0.99666,0.98167,0.89193,0.95363,0.68959,0.60094,1.9824,0.001175,0.001175,0.001175
127,2366.66,0.86774,0.73939,0.62504,1.46753,0.97315,1,0.97643,0.71359,0.97315,1,0.97643,0.88518,1.03566,0.82692,0.65518,1.8865,0.0011684,0.0011684,0.0011684
128,2385.19,0.85153,0.70974,0.61353,1.43698,0.97612,0.99691,0.99286,0.75741,0.97612,0.99691,0.99286,0.91535,0.95389,0.68405,0.55137,1.83986,0.0011618,0.0011618,0.0011618
