epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,2463.4,0.76819,0.45779,1.15692,0.84058,0.81223,0.84578,0.50758,1.53574,0.77453,1.98519,0.0086536,0.0086536,0.0086536
138,2481.35,0.75112,0.44944,1.13795,0.83731,0.80383,0.82991,0.49183,1.52083,0.8458,1.99637,0.0086437,0.0086437,0.0086437
139,2499.27,0.76081,0.44885,1.14825,0.87473,0.7996,0.84701,0.50542,1.51202,0.82326,1.97326,0.0086338,0.0086338,0.0086338
140,2517.25,0.74717,0.44377,1.13348,0.81299,0.8224,0.84101,0.49834,1.53594,0.83252,1.97454,0.0086239,0.0086239,0.0086239
141,2535.17,0.75783,0.44632,1.13343,0.84596,0.82644,0.86111,0.51352,1.52769,0.77666,2.01153,0.008614,0.008614,0.008614
142,2553.14,0.7438,0.44626,1.13873,0.83191,0.80627,0.82055,0.49013,1.51266,0.83367,1.94358,0.0086041,0.0086041,0.0086041
143,2571.01,0.74652,0.44817,1.14163,0.85355,0.81086,0.85902,0.51342,1.50639,0.79205,1.9598,0.0085942,0.0085942,0.0085942
144,2588.89,0.74286,0.43838,1.12734,0.86865,0.81488,0.87445,0.51716,1.52888,0.7879,1.98823,0.0085843,0.0085843,0.0085843
145,2606.76,0.74938,0.44523,1.13184,0.84119,0.83199,0.84867,0.5117,1.5301,0.80003,2.00198,0.0085744,0.0085744,0.0085744
146,2624.64,0.73692,0.44101,1.12695,0.88679,0.81446,0.85979,0.52537,1.49417,0.72523,1.91113,0.0085645,0.0085645,0.0085645
147,2642.52,0.74008,0.43582,1.12784,0.88461,0.84115,0.8711,0.53402,1.48567,0.73992,1.90233,0.0085546,0.0085546,0.0085546
148,2660.49,0.72463,0.43903,1.11183,0.86232,0.8258,0.85124,0.52716,1.47623,0.79978,1.9778,0.0085447,0.0085447,0.0085447
149,2678.34,0.72527,0.43223,1.12267,0.86929,0.85316,0.87035,0.52458,1.47817,0.7304,1.96826,0.0085348,0.0085348,0.0085348
150,2696.2,0.72822,0.43605,1.12437,0.85199,0.82184,0.85498,0.52542,1.47843,0.85144,1.91081,0.0085249,0.0085249,0.0085249
151,2714.06,0.723,0.43492,1.11865,0.86023,0.83726,0.87474,0.53335,1.48552,0.75691,1.92573,0.008515,0.008515,0.008515
152,2731.93,0.72598,0.43427,1.1225,0.81633,0.81478,0.82499,0.49454,1.50085,0.91241,1.94537,0.0085051,0.0085051,0.0085051
153,2749.79,0.72488,0.43372,1.12661,0.85252,0.82505,0.85379,0.52192,1.5115,0.74855,1.97708,0.0084952,0.0084952,0.0084952
154,2767.68,0.71506,0.42752,1.11859,0.82122,0.8088,0.83789,0.5002,1.51411,0.87848,1.97584,0.0084853,0.0084853,0.0084853
155,2785.56,0.7226,0.42746,1.12435,0.87432,0.81874,0.84679,0.51245,1.5047,0.79366,1.96241,0.0084754,0.0084754,0.0084754
156,2803.45,0.72364,0.43345,1.11854,0.86545,0.85104,0.87623,0.5295,1.50618,0.74976,1.96885,0.0084655,0.0084655,0.0084655
157,2821.3,0.71583,0.42643,1.11968,0.83713,0.80923,0.84095,0.51343,1.52253,0.80945,1.98691,0.0084556,0.0084556,0.0084556
158,2839.21,0.72934,0.4292,1.12556,0.84095,0.86487,0.87388,0.5247,1.5022,0.72773,1.99217,0.0084457,0.0084457,0.0084457
159,2857.08,0.72107,0.43504,1.12384,0.83549,0.80821,0.84462,0.51168,1.51673,0.78265,1.97723,0.0084358,0.0084358,0.0084358
160,2874.97,0.70396,0.4243,1.10203,0.84403,0.8363,0.86811,0.52384,1.5306,0.76161,2.00661,0.0084259,0.0084259,0.0084259
161,2893.05,0.71988,0.42931,1.11683,0.85893,0.8072,0.82624,0.49268,1.52817,0.83417,2.01702,0.008416,0.008416,0.008416
162,2910.92,0.71381,0.43044,1.10615,0.8523,0.82812,0.8338,0.50547,1.50723,0.81391,1.9659,0.0084061,0.0084061,0.0084061
163,2928.78,0.70024,0.42474,1.10203,0.81908,0.80304,0.81803,0.50085,1.48887,0.91678,1.94201,0.0083962,0.0083962,0.0083962
164,2946.64,0.70977,0.41652,1.10933,0.83688,0.82645,0.85571,0.51399,1.51762,0.79031,2.01501,0.0083863,0.0083863,0.0083863
165,2964.47,0.69726,0.42351,1.10305,0.7909,0.79739,0.81678,0.48749,1.51748,0.94986,1.98973,0.0083764,0.0083764,0.0083764
166,2982.32,0.72091,0.43234,1.11604,0.81237,0.83359,0.83888,0.50067,1.53236,0.86411,2.03017,0.0083665,0.0083665,0.0083665
167,3000.18,0.70423,0.42135,1.10267,0.8466,0.80626,0.83524,0.49687,1.53563,0.83158,2.07024,0.0083566,0.0083566,0.0083566
